generation,sigma,k,samples,learning,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
0,3,10,300,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,3,10,300,1,0.0,0.000470580226427,0.00715019365117,0.0365567323831,0.109951090615,0.235292090041,0.388595326101,0.161216718343,0.0497903933316,0.0109768753076
2,3,10,300,1,0.000392880984532,0.01196790246,0.0409289842711,0.0908502031159,0.156325981979,0.210266400369,0.229214044347,0.146115994066,0.0729360463538,0.0410015620536
3,3,10,300,1,0.0049664943298,0.038281621728,0.0787404703014,0.120510658967,0.158590166338,0.170880463606,0.16434614694,0.120491235166,0.0777891313595,0.0654036112635
4,3,10,300,1,0.0176256715241,0.0703922211973,0.107486406521,0.130512428113,0.146382470944,0.140283131305,0.128739400633,0.10118632356,0.0770066164597,0.0803853297437
5,3,10,300,1,0.039054524446,0.100485939306,0.125442983691,0.129897344019,0.131209460477,0.117639445879,0.106025196047,0.0875318749834,0.0745816871004,0.0881315440531
6,3,10,300,1,0.0676219808314,0.125001061266,0.134836597264,0.124397788899,0.116818989487,0.100660612256,0.0903237142915,0.077606262671,0.0715968470763,0.0911361459578
7,3,10,300,1,0.100887738206,0.143352882598,0.138361727401,0.117029505727,0.104230080254,0.0876625348103,0.078867134649,0.070043633378,0.0683802094683,0.0911845535084
8,3,10,300,1,0.136530258542,0.156345926956,0.13818369054,0.10927063436,0.0935315101211,0.0774974894943,0.0701388146673,0.0640023544864,0.0650698168452,0.0894295039886
9,3,10,300,1,0.172717811982,0.165190830399,0.135831410472,0.101804849696,0.0845163864433,0.0693785723726,0.0632389345214,0.0589765295347,0.0617466826033,0.0865979919747
10,3,10,300,1,0.208164605618,0.171043122624,0.132320454978,0.0949174080767,0.0769116625159,0.0627597769429,0.0576082267636,0.0546594276433,0.0584661361868,0.0831491786499
11,3,10,300,1,0.242053764133,0.174841295201,0.128298679971,0.0886976236296,0.0704593006866,0.0572584710685,0.0528875992781,0.0508609221801,0.0552668666413,0.0793754772103
12,3,10,300,1,0.273924663656,0.177285580453,0.124163856158,0.0831414668429,0.0649405715554,0.0526040711104,0.0488403025081,0.0474597336746,0.0521751953913,0.0754645586506
13,3,10,300,1,0.303567152343,0.178870936704,0.120148673778,0.0782033937355,0.0601786237671,0.0486033857168,0.0453064890965,0.0443759432354,0.0492080970937,0.0715373045298
14,3,10,300,1,0.330936679948,0.179933481639,0.116379367037,0.0738223179531,0.0560334970518,0.0451169764848,0.0421757532119,0.0415550087357,0.0463755881293,0.0676713298097
15,3,10,300,1,0.356091657721,0.18069375175,0.112915142732,0.0699343525019,0.0523953154439,0.0420429498782,0.0393700977915,0.0389583118404,0.0436826025573,0.0639158177838
16,3,10,300,1,0.379149693518,0.181291569882,0.10977424002,0.066478767407,0.0491778470461,0.0393058059318,0.036833143453,0.0365574583176,0.041130427922,0.0603010465021
17,3,10,300,1,0.400258301809,0.181812138597,0.106950889288,0.0634004812598,0.0463131157369,0.0368487405379,0.0345231678907,0.0343307733342,0.0387177806251,0.0568446109208
18,3,10,300,1,0.41957607574,0.182304699018,0.10442616631,0.0606508061446,0.0437471420596,0.0346283110721,0.0324085456224,0.0322611056087,0.0364415994326,0.0535555489921
19,3,10,300,1,0.437261120972,0.182795457922,0.102174799615,0.0581873408681,0.0414366724872,0.0326107222387,0.0304647189087,0.0303344273585,0.03429762541,0.0504371142203
20,3,10,300,1,0.453464371701,0.183296325493,0.100169325435,0.055973478273,0.039346703302,0.0307692251938,0.0286721604033,0.0285389270194,0.0322808231888,0.0474886599911
21,3,10,300,1,0.46832609496,0.183810694788,0.098382525429,0.0539777672651,0.0374486165889,0.0290822838752,0.0270149866157,0.0268644121604,0.0303856856897,0.0447069326285
22,3,10,300,1,0.48197441392,0.184337183134,0.0967887689668,0.0521732513023,0.0357187772303,0.027532272016,0.025480003352,0.0253019104945,0.028606453737,0.0420869658469
23,3,10,300,1,0.494525062577,0.184871996616,0.0953646697286,0.0505368420874,0.0341374732057,0.0261045389208,0.0240560407928,0.0238433989809,0.0269372736468,0.0396227034432
24,3,10,300,1,0.506081852832,0.185410380135,0.0940893241597,0.0490487538821,0.03268811047,0.024786732887,0.022733484575,0.0224816166521,0.0253723095906,0.0373074348158
25,3,10,300,1,0.51673751957,0.185947470344,0.0929443044985,0.0476920064332,0.0313565966924,0.0235683057898,0.0215039406856,0.0212099326975,0.0239058229182,0.0351341003717
26,3,10,300,1,0.526574733813,0.186478765748,0.0919135163515,0.0464519956463,0.0301308656046,0.0224401459847,0.0203599925132,0.0200222513477,0.0225322272807,0.0330955057105
27,3,10,300,1,0.535667156493,0.187000356751,0.0909829895655,0.0453161269346,0.0290005066421,0.0213943028519,0.0192950219452,0.0189129414964,0.0212461259751,0.0311844713453
28,3,10,300,1,0.544080459114,0.187509009487,0.090140644293,0.0442735044552,0.0279564739988,0.0204237773875,0.0183030754038,0.017876783118,0.0200423362022,0.0293939365407
29,3,10,300,1,0.551873271947,0.188002164282,0.0893760568454,0.0433146690609,0.0269908560645,0.019522360873,0.017378761745,0.0169089252251,0.0189159036754,0.0277170302822
