generation,sigma,k,samples,learning,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
0,2,10,300,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,2,10,300,1,0.0536654315843,0.0536654378218,0.0536683163285,0.0537995301404,0.0570052265687,0.0898831842756,0.224024179766,0.179309036551,0.138528194156,0.0964514628076
2,2,10,300,1,0.103443447361,0.098407241159,0.0933618981589,0.0921423698438,0.0940161266747,0.106659703784,0.120892101567,0.110756516374,0.105506618044,0.0748139770342
3,2,10,300,1,0.142402964542,0.127554726726,0.114190484543,0.110496341982,0.108214037276,0.105002403626,0.0918984037328,0.075844437305,0.0736681151219,0.0507280851459
4,2,10,300,1,0.175437524535,0.147091170733,0.124200914937,0.117599432517,0.111029972452,0.0985887320209,0.0765182092561,0.0576868747215,0.055145836302,0.036701332525
5,2,10,300,1,0.205515583514,0.160749101169,0.128253203597,0.118800948889,0.108798144899,0.0914277595071,0.0662703655645,0.0470906860885,0.04434358379,0.0287506229812
6,2,10,300,1,0.234039108425,0.170473251264,0.128874831617,0.116899997574,0.104459021258,0.0846673670471,0.0588384827906,0.0402812988293,0.0375492233207,0.0239174178741
7,2,10,300,1,0.261645181607,0.177327644453,0.12743031385,0.113376008541,0.0993472911592,0.0785664390792,0.0531416201044,0.0355334358447,0.0329109681939,0.0207210971661
8,2,10,300,1,0.288613907251,0.181953823476,0.124706830403,0.109034943235,0.0940687662462,0.0731150345784,0.0485744222615,0.0319885991776,0.029506495177,0.0184371781939
9,2,10,300,1,0.315055977097,0.184780316209,0.121187089852,0.104326915911,0.088895486035,0.0682338083171,0.0447777069475,0.0291918073541,0.0268548717432,0.0166960205343
10,2,10,300,1,0.341000647788,0.186120127575,0.117181595134,0.0995072359216,0.0839441905364,0.0638367753323,0.0415303947449,0.0268885364996,0.0246917396752,0.0152987567926
11,2,10,300,1,0.366438665749,0.186218023351,0.11289702265,0.0947214737587,0.0792585405442,0.0598488683963,0.0386915395845,0.024929125977,0.0228641193103,0.0141326206794
12,2,10,300,1,0.391343960415,0.185274566833,0.108474046445,0.0900519852383,0.074847805693,0.0562087851989,0.0361680415442,0.0232213491034,0.0212790656799,0.0131303938492
13,2,10,300,1,0.415684863242,0.183459006064,0.104009623378,0.0855440730473,0.0707054012764,0.0528674781451,0.033896215036,0.0217058023803,0.0198774603765,0.012250077054
14,2,10,300,1,0.439429937788,0.180916637762,0.0995708605302,0.0812210338064,0.0668178801256,0.0497857534509,0.0318309995538,0.0203426024323,0.0186200515037,0.0114642430465
15,2,10,300,1,0.462550936828,0.177773349488,0.0952040373141,0.0770929787704,0.0631693082325,0.0469320524923,0.0299394773598,0.0191039164227,0.0174797159929,0.0107542271002
16,2,10,300,1,0.485024185454,0.174138671703,0.0909406815973,0.0731620909864,0.0597433691317,0.0442806668539,0.0281968754184,0.0179696161102,0.0164370089212,0.0101068338243
17,2,10,300,1,0.506831087311,0.170108010154,0.0868017692933,0.0694258049805,0.0565243377427,0.0418103753065,0.0265840350946,0.0169246637723,0.0154775135531,0.00951240279211
18,2,10,300,1,0.527958141101,0.165764401984,0.0828006828727,0.0658787550988,0.0534974895236,0.0395034233826,0.0250857700799,0.015957490094,0.0145902118669,0.00896363399561
19,2,10,300,1,0.548396688537,0.161179974333,0.0789453247655,0.0625139826703,0.0506492300483,0.0373447631093,0.02368977462,0.0150589577641,0.0137664519368,0.00845485221516
20,2,10,300,1,0.568142522862,0.156417200163,0.0752396424053,0.0593236904302,0.0479670901125,0.0353214849827,0.0223858805871,0.0142216808937,0.0129992748323,0.00798153273188
21,2,10,300,1,0.58719543432,0.151530002963,0.071684736812,0.0562997164497,0.0454396603871,0.0334223906746,0.0211655406727,0.0134395664632,0.0122829641339,0.00753998712413
22,2,10,300,1,0.605558737936,0.146564739782,0.0682796726917,0.053433831929,0.0430565030578,0.0316376687236,0.0200214613344,0.012707497859,0.0116127369172,0.00712714976939
23,2,10,300,1,0.623238810249,0.141561080649,0.0650220725993,0.0507179269848,0.0408080589135,0.0299586459134,0.018947336985,0.0120211115351,0.0109845268655,0.00674042930565
24,2,10,300,1,0.6402446502,0.136552796628,0.0619085537638,0.0481441244174,0.0386855585059,0.0283775946491,0.0179376539752,0.0113766360923,0.0103948287728,0.00637760299561
25,2,10,300,1,0.656587472269,0.13156846575,0.0589350496403,0.0457048467483,0.0366809409386,0.0268875820907,0.0169875435749,0.0107707740844,0.00984058484371,0.00603674006011
26,2,10,300,1,0.672280335515,0.126632104489,0.0560970466504,0.0433928527494,0.0347867813084,0.0254823506902,0.0160926699438,0.0102006136443,0.00931910002894,0.00571614498021
27,2,10,300,1,0.68733780943,0.121763731575,0.0533897583097,0.0412012540114,0.0329962266087,0.0241562225492,0.015249143481,0.00966356130396,0.0088279779021,0.00541431482904
28,2,10,300,1,0.701775675847,0.116979870332,0.0508082530102,0.0391235184903,0.0313029393775,0.0229040220066,0.0144534528518,0.00915729012648,0.00836507132213,0.00512990663582
29,2,10,300,1,0.715610665129,0.112293995328,0.0483475474269,0.0371534656494,0.0297010482059,0.0217210123004,0.0137024109449,0.00867969907167,0.00792844390318,0.00486171204011
