generation,sigma,k,samples,learning,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
0,0.4,10,300,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.4,10,300,1,0.060050037229,0.0600500413021,0.0600519561687,0.0601650480691,0.063797471731,0.10167733901,0.240158252731,0.180878070988,0.0963748211837,0.0767969615883
2,0.4,10,300,1,0.0983928864688,0.090967835387,0.0902285555461,0.0865765146532,0.0968903001368,0.119013734988,0.118081852967,0.129216756339,0.103518323876,0.0671132396378
3,0.4,10,300,1,0.130156097416,0.111405490933,0.109234768586,0.101356237522,0.114908938627,0.119771754979,0.085878885444,0.0920923281882,0.0826192540435,0.0525762442602
4,0.4,10,300,1,0.158486388769,0.125737330139,0.121613827923,0.109585234366,0.123746759831,0.115854425785,0.0707929542931,0.0696926827938,0.0638842504157,0.0406061456833
5,0.4,10,300,1,0.18467886567,0.1359624086,0.129517517917,0.113588716143,0.126891485733,0.11037048454,0.0610481028789,0.0553657259267,0.0505501244295,0.0320265681619
6,0.4,10,300,1,0.209474704924,0.14329387031,0.134288239019,0.114810742771,0.126570305387,0.104473342292,0.0539599205475,0.0457088978021,0.0413448811733,0.0260750957742
7,0.4,10,300,1,0.233320521115,0.148513102249,0.136816925801,0.114204367053,0.124193481017,0.098658235719,0.0485348578767,0.0389423383673,0.0349023757514,0.02191379505
8,0.4,10,300,1,0.256482548529,0.152135321033,0.137711205631,0.112406597447,0.120643639304,0.0931351923697,0.0442414047303,0.0340373499176,0.0302723980421,0.0189343429971
9,0.4,10,300,1,0.279115138759,0.154509260306,0.13739640868,0.109845730958,0.116468462728,0.0879794183875,0.0407461217622,0.0303626147862,0.0268405017246,0.0167363419094
10,0.4,10,300,1,0.301303440336,0.155878850915,0.136178173044,0.106810885469,0.112004960641,0.0832021705487,0.0378278014634,0.0275185469865,0.0242131492935,0.0150620213034
11,0.4,10,300,1,0.323090050966,0.156421346067,0.134281584173,0.103497663403,0.107458193889,0.0787858563421,0.0353361332122,0.0252474068054,0.0221366192923,0.0137451458502
12,0.4,10,300,1,0.344491729371,0.156270899488,0.131876009574,0.10003844579,0.102950779353,0.0747015027836,0.0331673128847,0.0233804062586,0.0204454496118,0.0126774648844
13,0.4,10,300,1,0.365509935242,0.155533186383,0.129091190816,0.0965226659569,0.0985539432684,0.0709172697236,0.0312485534152,0.021805386849,0.0190302841995,0.0117875841461
14,0.4,10,300,1,0.386137508261,0.154294505233,0.126027933768,0.0930104711935,0.0943069931694,0.0674023902085,0.0295279923484,0.0204466830574,0.0178177842759,0.0110277384847
15,0.4,10,300,1,0.406362907096,0.15262747382,0.122765405615,0.08954197769,0.0902295320475,0.0641287973569,0.027968037303,0.0192524170535,0.0167579825375,0.0103654694804
16,0.4,10,300,1,0.426172889924,0.150594622117,0.119366255902,0.0861435663775,0.0863291219771,0.0610716094716,0.0265409403657,0.0181863977465,0.0158162503854,0.00977834573274
17,0.4,10,300,1,0.445554189656,0.148250687158,0.11588030862,0.0828321808429,0.082606090398,0.0582090790029,0.0252258303552,0.0172229046636,0.0149681469191,0.00925058238416
18,0.4,10,300,1,0.464494535253,0.145644108193,0.112347291174,0.0796182707167,0.0790565389496,0.0555223144199,0.0240067051217,0.0163432965004,0.0141960838114,0.00877085586003
19,0.4,10,300,1,0.482983245096,0.142818030449,0.108798896374,0.0765078137071,0.0756742196451,0.0529949286719,0.0228710602834,0.0155337840464,0.0134871444541,0.00833087727252
20,0.4,10,300,1,0.501011539479,0.139811007753,0.10526036995,0.0735037091036,0.0724516964304,0.0506126870247,0.0218089428717,0.0147839525878,0.0128316432211,0.00792445157782
21,0.4,10,300,1,0.518572669045,0.136657520867,0.101751751838,0.0706067413096,0.0693810557372,0.0483631855456,0.0208122908344,0.0140857709181,0.0122221634411,0.00754685046304
22,0.4,10,300,1,0.535661923583,0.133388382725,0.0982888589369,0.067816248382,0.0664543326961,0.0462355707804,0.0198744664423,0.01343291907,0.0116529077377,0.0071943896469
23,0.4,10,300,1,0.552276564423,0.130031073472,0.0948840709204,0.0651305875464,0.0636637586203,0.0442203013066,0.0189899224022,0.0128203267006,0.011119254039,0.00686414056891
24,0.4,10,300,1,0.568415709681,0.12661003077,0.0915469634744,0.0625474604978,0.0610018967866,0.0423089475788,0.0181539596708,0.0122438520148,0.0106174482735,0.00655373125296
25,0.4,10,300,1,0.584080192175,0.123146910166,0.0882848216886,0.0600641414904,0.0584617090736,0.040494025022,0.0173625492948,0.0117000553778,0.0101443887935,0.0062612069182
26,0.4,10,300,1,0.599272403534,0.119660823932,0.0851030582669,0.0576776377424,0.0560365804652,0.0387688551936,0.0166121994527,0.0111860373914,0.00969747299159,0.00598493103032
27,0.4,10,300,1,0.613996133605,0.116168562946,0.0820055554715,0.0553848024921,0.0537203185098,0.0371274502805,0.0158998547875,0.0106993213426,0.00927448654388,0.00572351402131
28,0.4,10,300,1,0.628256411283,0.112684804068,0.0789949455321,0.0531824147668,0.0515071384987,0.0355644168388,0.0152228190942,0.0102377665532,0.0088735222084,0.00547576115651
29,0.4,10,300,1,0.642059350789,0.10922230421,0.0760728411307,0.0510672356237,0.0493916410846,0.0340748753463,0.0145786951195,0.00979950351767,0.00849291936555,0.00524063381303
