generation,sigma,k,samples,learning,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
0,1,10,300,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,10,300,1,0.0,0.00141172140937,0.0158005082296,0.061247088433,0.145219078282,0.253054116298,0.347550090669,0.132732508343,0.037083202688,0.00590168564852
2,1,10,300,1,0.000891404719001,0.0223404737455,0.0662337619095,0.128617960299,0.191576734722,0.220760320448,0.196963656749,0.110467194976,0.0472557576398,0.0148927347908
3,1,10,300,1,0.00848253802084,0.0611839303219,0.1137003802,0.159481099186,0.188859195527,0.178499268304,0.13885299822,0.085439610523,0.0448257244099,0.0206752552877
4,1,10,300,1,0.0264993992387,0.103278800945,0.146215186808,0.16744533644,0.172722757031,0.146514585365,0.107021925527,0.067704353465,0.0397661744547,0.0228314807261
5,1,10,300,1,0.0542893313624,0.139760997369,0.165120958275,0.1645551887,0.154634285038,0.122697518328,0.0863158747508,0.0552182258021,0.0347355507078,0.0226720696676
6,1,10,300,1,0.0890834826154,0.167956007775,0.174335699668,0.157072463633,0.137854039513,0.104481450538,0.0716067349951,0.0460489640328,0.0302506959833,0.0213104612469
7,1,10,300,1,0.127828643889,0.188334076383,0.177225272505,0.147938413267,0.123124576894,0.0901778435263,0.0605742068009,0.0390216642574,0.0263442150173,0.0194310874596
8,1,10,300,1,0.167987664084,0.202417433416,0.176180328094,0.138506887678,0.110417830773,0.0786945779321,0.0519776975161,0.0334479184457,0.0229593988174,0.0174102632444
9,1,10,300,1,0.207724481128,0.21180996114,0.172802493909,0.129393838893,0.0994926674247,0.0693026140173,0.0450876384002,0.0289135830599,0.0200315167047,0.0154412053244
10,1,10,300,1,0.245832874207,0.217857306431,0.168140078726,0.120868082417,0.0900791265458,0.0615012575864,0.0394469381069,0.0251577496786,0.0175015150644,0.0136150712364
11,1,10,300,1,0.281593692397,0.221584784901,0.162868908105,0.113031765349,0.0819356607,0.0549384937505,0.0347546710976,0.0220070966307,0.015317096415,0.0119678306539
12,1,10,300,1,0.314635742297,0.223735578678,0.157417344316,0.105905632861,0.0748614429997,0.0493613587181,0.0308040885177,0.0193403095373,0.0134320962171,0.0105064058586
13,1,10,300,1,0.344823552515,0.224833173686,0.152050292353,0.0994704465714,0.0686935407458,0.0445839547403,0.027447635371,0.0170684438631,0.0118058835344,0.0092230766199
14,1,10,300,1,0.372174279265,0.225239893822,0.146925201521,0.0936877007795,0.0633001100323,0.0404664606377,0.0245763590093,0.0151237517034,0.0104028751779,0.00810336805146
15,1,10,300,1,0.396799100823,0.225203634149,0.142129313302,0.0885102967652,0.0585736011237,0.0369012168025,0.0221073588936,0.0134530693739,0.00919208385214,0.00713032491428
16,1,10,300,1,0.418863188479,0.224892553298,0.137704413115,0.0838882001708,0.0544251587935,0.033803427359,0.0199758961644,0.0120137238883,0.00814666396965,0.00628677476149
17,1,10,300,1,0.438559042777,0.224419852232,0.133663264522,0.0797715069819,0.0507803508023,0.0311048941135,0.0181302873371,0.0107708767723,0.00724345573849,0.00555646872344
18,1,10,300,1,0.456089150909,0.223861090582,0.130000506436,0.0761121196599,0.0475760182022,0.0287497478859,0.0165285070197,0.0096957203294,0.00646254134285,0.00492459763312
19,1,10,300,1,0.471655014566,0.223266139261,0.126699861783,0.0728646471186,0.0447579780943,0.0266915000677,0.015135865918,0.00876420118899,0.00578682716805,0.0043779648339
20,1,10,300,1,0.485450468122,0.222667376451,0.123738886427,0.0699868537545,0.0422793415471,0.0248909708974,0.0139233812127,0.00795608425847,0.00520166159025,0.00390497573996
21,1,10,300,1,0.497657850659,0.222085291319,0.121092075786,0.0674398374829,0.0400992640937,0.0233148039439,0.0128666027735,0.00725424562967,0.00469449298772,0.0034955353248
22,1,10,300,1,0.508446052626,0.221532313314,0.118732873773,0.0651880411863,0.0381819973493,0.0219343763371,0.011944746131,0.00664412535365,0.00425456880743,0.00314090512143
23,1,10,300,1,0.517969775345,0.221015431353,0.116634947629,0.06319916109,0.0364961505497,0.0207249796042,0.0111400364812,0.006113295577,0.00387267398585,0.00283354838483
24,1,10,300,1,0.526369558879,0.220537988299,0.114772972047,0.0614439923614,0.0350141000842,0.0196651885535,0.0104372011536,0.00565111430345,0.00354090557402,0.00256697874521
25,1,10,300,1,0.533772281326,0.220100912598,0.113123086,0.0598962383651,0.033711505424,0.0187363634071,0.00982306892174,0.00524844423653,0.0032524797525,0.0023356199685
26,1,10,300,1,0.540291932282,0.219703564694,0.111663132326,0.0585323012861,0.0325669035792,0.0179222484859,0.00928624796643,0.00489742208112,0.00300156726756,0.00213468003123
27,1,10,300,1,0.546030530408,0.219344318791,0.110372754391,0.0573310661058,0.0315613633215,0.0172086425873,0.0088168630467,0.00459126762035,0.00278315347083,0.00196004025752
28,1,10,300,1,0.551079100278,0.219020962033,0.109233400154,0.0562736860147,0.0306781863739,0.0165831239551,0.00840633819566,0.0043241245832,0.0025929194567,0.00180815895688
29,1,10,300,1,0.55551865407,0.218730967185,0.108228267724,0.055343374625,0.0299026466563,0.0160348178638,0.00804721512021,0.00409092721729,0.00242714117445,0.00167598836413
