generation,sigma,k,samples,learning,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99
0,0.4,20,100,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.4,20,100,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000397943356747,0.000397943356747,0.000397943356747,0.000397943356747,0.000397943356747,0.000397943356747,0.000960375678743,0.000960375678743,0.00159571282702,0.00472615354074,0.00472615354074,0.00541592202577,0.0096718327654,0.0133830712148,0.0151195510567,0.0181175237359,0.0217056253063,0.0328018051765,0.0406217483904,0.0515795457794,0.0665354467187,0.0990261221833,0.171045957114,0.114391991742,0.085396618584,0.0612327653295,0.0492306534828,0.0304086484031,0.0232771505085,0.0182941954874,0.0141658268151,0.0110392780513,0.00719986923872,0.006553211284,0.00526374038613,0.00387925511602,0.00254395869148,0.00254395869148,0.00202663232771,0.000878900948206,0.000878900948206,0.000413861091022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4,20,100,1,2.56622397503e-07,2.56622397503e-07,3.67393271029e-07,3.67393271029e-07,6.67275517382e-07,8.31977434927e-07,1.11377147782e-06,1.46876255352e-06,1.80063106987e-06,1.98659859351e-06,2.15015397639e-05,2.17165179856e-05,2.69909513448e-05,2.71483085237e-05,3.25251553882e-05,5.06703913764e-05,6.28616511231e-05,6.97496546417e-05,9.6760998782e-05,0.000118201967126,0.000130808591764,0.000163411446126,0.000186146004077,0.000234485836459,0.000357630869846,0.000466223455217,0.000591302841706,0.000814098858756,0.0011415078552,0.00148625331584,0.00187641073154,0.00234637551119,0.00296519847089,0.00389567286497,0.00506871708834,0.00622182281942,0.0084196682751,0.0096502379433,0.0118724849693,0.0152231821177,0.0188129319691,0.0231598089238,0.0269861416878,0.0324572733834,0.0390641610219,0.0465100587297,0.0546699374781,0.061999256476,0.0698496117659,0.0785057726185,0.0723966557281,0.0694266107405,0.0605418011866,0.0546136019944,0.0426720735058,0.0336297146301,0.0273591772181,0.0227326761377,0.0187324692588,0.0149772925269,0.0123832428686,0.00996674648384,0.00793088358518,0.00603932626304,0.00514532332735,0.00410573637753,0.00304032741206,0.00243098341467,0.00160107024305,0.0012236992194,0.000931525002515,0.000734999209872,0.000564993384642,0.00027070536662,0.000199216377106,0.0001685609384,0.000150567849686,0.000112543215205,6.97361704264e-05,5.54361126163e-05,4.0728247669e-05,3.02162776413e-05,2.18627732822e-05,1.67574778029e-05,1.00786768677e-05,3.98538902494e-06,2.39808471658e-06,1.21311145803e-06,8.75217840216e-07,3.50889526185e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4,20,100,1,2.88924101608e-06,3.60302907975e-06,4.54456570237e-06,4.9972052584e-06,6.53440668268e-06,9.1110486077e-06,1.22972754334e-05,1.62379693587e-05,2.13053889127e-05,2.6201681059e-05,4.81952556296e-05,5.64233282587e-05,7.27012761082e-05,8.16143421216e-05,0.00010039797585,0.000138605308677,0.000176982595859,0.000205537960357,0.000269675133229,0.000329200312624,0.0003857751555,0.000465650920267,0.000557757946605,0.000697555439614,0.000924778221184,0.00113241782492,0.00143213887501,0.00177871949704,0.00234792833646,0.00295210990433,0.00362585998015,0.00453070742177,0.00564255396972,0.00695244524322,0.00842630531555,0.00991913531806,0.0119107755279,0.0132509186574,0.0159696715009,0.0191074349892,0.0223862052535,0.0263932471207,0.0297236124453,0.0346071558877,0.038697993965,0.0437773345795,0.0488986479897,0.0513959075037,0.0538250037644,0.0564507333172,0.054466762576,0.055410088386,0.0522217973952,0.0501525077119,0.0423570299925,0.0353312719615,0.0305039506398,0.0270142904488,0.0228764805437,0.019680961924,0.01662265155,0.0139450325053,0.0114675165977,0.00921425009439,0.00801813420518,0.00652647702519,0.00526587624338,0.00434870292206,0.00314938486308,0.00263444021793,0.00205587940486,0.00165988292395,0.00130052564543,0.000857015893579,0.000650158912211,0.000531833531838,0.000454618300976,0.000345872156681,0.000280945154258,0.000227912042063,0.000171892643262,0.000133450914036,0.000103327189604,8.11357268409e-05,5.56894904398e-05,3.6367262943e-05,2.48753576986e-05,1.73822439682e-05,1.38797971672e-05,9.89071143656e-06,6.91746616566e-06,5.56585118929e-06,3.80047114053e-06,2.74075074661e-06,2.0508513273e-06,1.66509587206e-06,1.3139725773e-06,8.67379131233e-07,7.09301327731e-07,6.88582474928e-07
4,0.4,20,100,1,1.07801255756e-05,1.31356869667e-05,1.59080498428e-05,1.77550752268e-05,2.16282485826e-05,2.96431880002e-05,3.81612183235e-05,4.83430507715e-05,6.08116472078e-05,7.23795273583e-05,9.95356599655e-05,0.000120640895002,0.000153304575859,0.000177900807132,0.00021654046013,0.000282075743173,0.000355590308781,0.000415427007486,0.0005332807249,0.000637381859618,0.000755943140296,0.000889100061052,0.00107223197574,0.00132396982086,0.001650787437,0.00197626610572,0.00245034170433,0.00294702479447,0.00372185257991,0.00451182175309,0.00537069153615,0.00657430366159,0.0079796895492,0.00949276869055,0.0110561576154,0.012676883427,0.0145220613455,0.0157073990302,0.0184299460407,0.0212629299954,0.0239854235479,0.0272947045439,0.0298224322231,0.0338165650267,0.0364566223531,0.0399225748049,0.0432694737304,0.0439732688936,0.0450056748312,0.0465417260096,0.045343516176,0.0468664884228,0.0454777844747,0.0449600205633,0.0394738445813,0.0342184774123,0.0307312996275,0.0284164929703,0.0246222994991,0.0220976988121,0.0191642545604,0.0166143437751,0.0140857479137,0.0117325975878,0.0105164170655,0.00873246288749,0.00738404966487,0.00628107575442,0.00476718927565,0.00411083919533,0.00325951519789,0.00269944565939,0.00218600289641,0.00161588222486,0.00126820695114,0.00104812152358,0.000899012549079,0.000710610784743,0.000612443163791,0.00051517365366,0.00040447150162,0.000324463552512,0.000258054024366,0.000207689348788,0.00015248065545,0.00011340435053,8.17447673798e-05,6.14938919761e-05,4.98597315857e-05,3.83216690661e-05,2.89708471479e-05,2.25102773664e-05,1.64147416492e-05,1.27330082093e-05,1.00382937169e-05,7.95128252128e-06,5.98889138642e-06,4.44731582041e-06,3.51500357147e-06,3.27193259825e-06
5,0.4,20,100,1,2.71279414731e-05,3.23324357295e-05,3.80955517145e-05,4.26511874177e-05,4.98010725791e-05,6.66591199345e-05,8.29324682575e-05,0.000102201910609,0.000125063474515,0.000146086420028,0.000183926329579,0.000224222129358,0.000277881519022,0.000324305596356,0.000388614416346,0.00048961177129,0.000602632764836,0.000698767241012,0.000883324372098,0.00103082460582,0.00122111375996,0.00140456183761,0.00168495227164,0.00205596851744,0.00247257234427,0.00291106068212,0.00352821119027,0.00414321738536,0.00507774725358,0.00598148909686,0.00694922853465,0.00832947079471,0.00988454454213,0.0114712793556,0.0130123711007,0.0146191289837,0.0162764450273,0.017236685188,0.0197635913656,0.0222288236518,0.0244022891207,0.027088151609,0.0289427976258,0.0322026713981,0.0339949455666,0.0365063189134,0.0388732221635,0.0388699534581,0.0394043169335,0.04053899051,0.0396537388269,0.0412315912103,0.0405193609213,0.0406434886388,0.0364883854048,0.032426149888,0.02986368111,0.0283848335953,0.0250463267581,0.0231156988433,0.0204929760569,0.0182082020115,0.015840545294,0.0135611811596,0.0124499333495,0.0105324778581,0.00922111094029,0.00802343534442,0.00627197584669,0.00552009163735,0.00444313631777,0.00376223253771,0.00313520189734,0.00245818171011,0.0019829837676,0.00166171071624,0.00144089425648,0.00117354075286,0.00104060246375,0.000899634449817,0.000729380194103,0.000600581271624,0.000486569593676,0.000400497800663,0.000306517914324,0.000243010202094,0.0001814450074,0.000142345808214,0.000117105949344,9.38146501897e-05,7.36031128769e-05,5.6970908741e-05,4.36401876063e-05,3.52212938827e-05,2.86631130205e-05,2.28526800076e-05,1.72831025172e-05,1.34752657083e-05,1.07138519641e-05,9.8220171413e-06
6,0.4,20,100,1,5.51649432517e-05,6.46175178545e-05,7.45928692819e-05,8.3447619241e-05,9.46047619611e-05,0.000123861501144,0.000150342177265,0.000181761056189,0.000218030019629,0.000251264103605,0.000305008251837,0.000370884163204,0.000449367685291,0.000522241182536,0.000616770208465,0.000759164792354,0.000912369717615,0.0010457353439,0.00130380623398,0.00148855149352,0.00175322846698,0.00197715916056,0.00235052466033,0.00283730250063,0.00332491220108,0.00385834439013,0.00457803873562,0.00527206358979,0.00631684655803,0.0072764168588,0.00829422956944,0.00976084912963,0.0113690118114,0.0129483248218,0.014402080109,0.0159183953944,0.0173695123021,0.0181018523421,0.0203753438596,0.0224921006429,0.0242096151955,0.0264072939814,0.0277671564285,0.0304813504897,0.0317584950729,0.0336890297848,0.0354808822159,0.0351575236905,0.0354601851124,0.036377019609,0.0356613383504,0.0371901816042,0.036790029438,0.0372101847407,0.0338773455013,0.0306036748262,0.0286590541945,0.0277325868254,0.0248146330368,0.0233555196321,0.0210659968997,0.0190680284584,0.0169351407989,0.0148090586803,0.0138502978688,0.0119086295765,0.0107113268611,0.00948746274206,0.00757523938454,0.00677806388849,0.0055335254135,0.00477405230687,0.00407402146471,0.00331609503365,0.0027347203571,0.00232143046638,0.0020364865518,0.00169773904931,0.0015352038207,0.00135593447676,0.00112758621441,0.000948679245518,0.000780164748127,0.000654539988527,0.000515579876508,0.000425518887806,0.000326428636696,0.000263781175731,0.000220082161712,0.000181409293831,0.000145917557353,0.000113657623569,9.04574488815e-05,7.50159579181e-05,6.2515017557e-05,5.06124197116e-05,3.89245443416e-05,3.12226470387e-05,2.52011041497e-05,2.30288744848e-05
7,0.4,20,100,1,9.78357695749e-05,0.000113033842952,0.000128388775568,0.000143292394475,0.000158910972296,0.000204011331141,0.000242968358743,0.000289428168619,0.000341624082986,0.000389254539819,0.000463136494362,0.000560037348469,0.000665847825014,0.000767795812709,0.0008951982392,0.00108198568306,0.00127304341262,0.00144138165442,0.001773865002,0.00198689620008,0.0023231851349,0.00257436456892,0.00303004903818,0.00362133788454,0.00415788569499,0.00476390659453,0.0055476746022,0.00628591837141,0.00739723284041,0.00837072306442,0.00939614869484,0.0108879333088,0.0124882105813,0.0140136522136,0.0153498945708,0.0167432936385,0.0179950000625,0.0185235263434,0.0205476954661,0.0223657595746,0.0237262796521,0.0255539021704,0.0265593283299,0.0288723777132,0.0298190345419,0.031373859829,0.0328009192032,0.0323159978899,0.0324903840712,0.0332675970238,0.0326577704907,0.0341166684099,0.0338845467963,0.0344538447506,0.0316661993399,0.0289307772042,0.0274079855674,0.0268478677423,0.0242814418804,0.0231834042974,0.0211933864039,0.0194581941558,0.0175659166592,0.0156162126899,0.014817793464,0.0129154185635,0.0118663816413,0.0106616280943,0.00865317228569,0.00785089840243,0.00649256403027,0.00569078672406,0.00495386699197,0.00414182127252,0.00347795084194,0.00298644738691,0.00264888736629,0.00225024417618,0.00206646290979,0.00185733680076,0.00157662335472,0.00135071780055,0.00112510129282,0.000959321978611,0.000772104230793,0.000655846689374,0.000514357948076,0.000425253403308,0.000359516142697,0.000302818357706,0.00024828898807,0.000195336626238,0.000160302960862,0.000135737480682,0.000115363711946,9.5042543118e-05,7.45275534147e-05,6.10010843606e-05,5.00376519698e-05,4.58142794551e-05
8,0.4,20,100,1,0.00015750748475,0.000179966566257,0.000201701927578,0.000224433800431,0.000244618917472,0.000308653594651,0.000361961433685,0.000425853254031,0.000495693320966,0.00055910915493,0.000656100469677,0.000788035106638,0.000922067948131,0.0010537075001,0.00121460800275,0.00144604590058,0.0016704595145,0.00186935715209,0.00227265016347,0.0025039703903,0.00290555492058,0.00317016128163,0.00369455008817,0.0043749671586,0.00493943515918,0.0055963283186,0.00641222572099,0.00716736280951,0.00831058769977,0.00926986983224,0.0102745893381,0.0117526698763,0.0133094039945,0.0147574206393,0.0159680270112,0.0172311016104,0.0183028154307,0.0186591637369,0.0204603300592,0.0220320563522,0.0231174323766,0.0246643829071,0.0254141302611,0.0274273559519,0.0281504648045,0.0294474213786,0.0306268954761,0.0300549713751,0.0301501994292,0.0308297686061,0.0302923310309,0.0316809580175,0.0315493018108,0.0321975110966,0.0297936562318,0.0274414705933,0.0262164923815,0.0259055990771,0.023624848021,0.0228016480788,0.0210647612854,0.0195553634031,0.0178826792068,0.0161052827323,0.015456724198,0.0136259952788,0.0127324050302,0.0115732854213,0.00951748494423,0.00873769053847,0.00730934600679,0.00649349449738,0.00574863332151,0.00490615771825,0.00418232978766,0.00362790501536,0.00325046885297,0.00280487570938,0.00260910467245,0.00237981722147,0.00205487044683,0.00178788096509,0.00150608308129,0.0013020476686,0.00106591106706,0.000925798926376,0.0007397497167,0.000623057172226,0.000533213545474,0.000456979350342,0.000380654731746,0.00030286605241,0.000254894148232,0.000219532893454,0.00018978488736,0.000159077562873,0.000127130667208,0.000105729875019,8.80364896485e-05,8.09343634719e-05
9,0.4,20,100,1,0.000235774680868,0.000266959468278,0.000295826555437,0.000328080008555,0.00035254927184,0.000438087202909,0.000507095973806,0.000590121955461,0.000678416392729,0.000758168008922,0.000879925025858,0.00104933595955,0.00121093600135,0.00137117841551,0.00156442932868,0.00183860084004,0.00209058942649,0.00231445134826,0.002782067059,0.00302190519456,0.00348061009278,0.00374598823983,0.00432489329251,0.00507780847376,0.00565231625954,0.00634124075089,0.00716477461111,0.00791684952488,0.00906642586028,0.00999388413653,0.0109605516624,0.0124018110491,0.0138961370502,0.0152573129726,0.0163460752346,0.0174839653181,0.0183989068714,0.0186136717406,0.0202228968848,0.0215937775372,0.0224666087325,0.0237978791548,0.024359948743,0.0261437176349,0.0267086801884,0.0278196992023,0.028821963303,0.0282020079482,0.0282448584209,0.0288521810414,0.0283676157219,0.0296911267318,0.0296240230648,0.0303143205599,0.0281938633398,0.0261256169341,0.0251180283246,0.0249816376888,0.0229323902561,0.0223196697256,0.0207921885456,0.0194719237278,0.0179903049796,0.0163702472444,0.015854290441,0.0141088619771,0.0133636235556,0.0122636259948,0.0101951172699,0.00945462208808,0.00798941479133,0.00717987157612,0.0064484011029,0.00559457385859,0.00483042581724,0.00422780641854,0.00382268406557,0.00334281027846,0.00314385188643,0.0029039878483,0.00254386469348,0.00224311993834,0.00190857465626,0.00166987156105,0.00138622909794,0.00122596010427,0.000995507109347,0.000851626478365,0.000737064981305,0.000640871858854,0.000541105727851,0.000435518668672,0.000374384325075,0.000327112920524,0.000287074630532,0.000244569599513,0.000198916288877,0.000167641797232,0.000141454725391,0.000130664971856
