generation,sigma,k,samples,learning,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
0,2,10,300,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,2,10,300,10,0.0,2.62370655114e-27,3.09001976856e-17,3.92966959954e-10,6.34966863407e-06,0.00476812765997,0.361904398036,0.322109274902,0.204674037699,0.106537811642
2,2,10,300,10,0.0404907081862,0.0404907081862,0.0404907083565,0.0404909074392,0.0405274929028,0.0447436133925,0.173022449298,0.203032695737,0.224546228963,0.152164487539
3,2,10,300,10,0.082266208856,0.078227650528,0.075312546878,0.0733826276261,0.0704538099609,0.0763955684382,0.114281155684,0.128864923669,0.172908148261,0.127907360098
4,2,10,300,10,0.117627121978,0.105585923935,0.0974390325582,0.0922940627076,0.0850594791262,0.0932964439052,0.0926770146381,0.0941537384468,0.127360317288,0.0945068654171
5,2,10,300,10,0.147633851146,0.124502015647,0.109880374969,0.101101708068,0.08971334731,0.0994075659621,0.0821034373994,0.0768749570856,0.0983213900757,0.0704613523373
6,2,10,300,10,0.174398286383,0.137844488541,0.116297340457,0.10402293305,0.0892869603246,0.0993632880721,0.0751992043813,0.06699361615,0.0809350007449,0.0556588818959
7,2,10,300,10,0.199380728954,0.147598607242,0.119153213401,0.103790902228,0.086627382123,0.0963053749384,0.0697756872505,0.0604587093824,0.0701831622985,0.0467262321815
8,2,10,300,10,0.223379915224,0.154922886498,0.119874385239,0.101926494189,0.083140130679,0.0920054212071,0.0651265581568,0.0555808261005,0.0629840366973,0.0410593460084
9,2,10,300,10,0.246784142431,0.16046824621,0.119256645155,0.0992290443188,0.0794507388473,0.0873594408612,0.0609974546581,0.051617808562,0.057693779843,0.0371426991131
10,2,10,300,10,0.269763851878,0.164612775159,0.117753052432,0.0961135269771,0.0758125033238,0.0827780975921,0.0572784124933,0.0482266528405,0.0534808774931,0.034180249811
11,2,10,300,10,0.292382671642,0.167595185957,0.115636789286,0.0927992482442,0.0723155782575,0.0784256796914,0.0539066782101,0.0452379020802,0.0499297692358,0.0317704973961
12,2,10,300,10,0.314654768549,0.169583287274,0.113085603903,0.0894069537749,0.0689841450703,0.0743506877834,0.0508359589566,0.0425589896803,0.0468280528281,0.02971155218
13,2,10,300,10,0.336572765265,0.170707288475,0.110224034556,0.0860068589884,0.0658182612341,0.0705519937905,0.0480274073269,0.0401324944557,0.0440604253983,0.0278984705097
14,2,10,300,10,0.358120815897,0.171075553466,0.107144456993,0.0826420792165,0.0628105114333,0.0670101782372,0.0454473623577,0.0379182487017,0.0415581377379,0.0262726559602
15,2,10,300,10,0.379280570722,0.17078203589,0.103917913852,0.0793401847433,0.0599519791786,0.0637012842318,0.043066818617,0.0358856704309,0.0392756036165,0.0247979387181
16,2,10,300,10,0.40003385425,0.169909919135,0.100600095685,0.0761191309331,0.0572340507539,0.0606022262087,0.0408611044483,0.0340103509608,0.0371797129504,0.0234495546753
17,2,10,300,10,0.420363859103,0.168533569857,0.0972349974734,0.0729905191368,0.0546487720688,0.0576925013719,0.0388094442861,0.0322723631217,0.0352448759537,0.0222090976276
18,2,10,300,10,0.440255672656,0.16671974636,0.0938574036637,0.069961551583,0.0521887990073,0.054954408484,0.0368944267322,0.0306552635378,0.0334505843,0.0210621436762
19,2,10,300,10,0.459696495488,0.16452846592,0.0904947230465,0.0670363036378,0.0498472890965,0.0523727538711,0.0351014581855,0.0291453960506,0.0317800698408,0.0199970448636
20,2,10,300,10,0.478675707142,0.162013699343,0.0871684146327,0.0642166038095,0.047617822635,0.0499344446909,0.0334182600464,0.0277313533813,0.0302194582848,0.0190042360336
21,2,10,300,10,0.497184847848,0.159223962431,0.0838951249624,0.0615026649118,0.0454943581524,0.0476281117857,0.0318344365128,0.0264035448762,0.0287571694329,0.0180757790862
22,2,10,300,10,0.515217549011,0.156202834697,0.080687605626,0.0588935447351,0.0434712086321,0.0454437988098,0.0303411182031,0.0251538476214,0.0273834614466,0.0172050312184
23,2,10,300,10,0.53276943059,0.15298942061,0.0775554566857,0.056387484421,0.0415430263644,0.0433727161656,0.0289306753248,0.0239753265531,0.0260900736605,0.0163863896248
24,2,10,300,10,0.549837977089,0.149618762833,0.074505729995,0.0539821572446,0.0397047894223,0.0414070477923,0.0275964896612,0.022862011522,0.0248699438869,0.0156150905533
25,2,10,300,10,0.566422400636,0.146122214368,0.0715434192476,0.0516748513388,0.0379517868375,0.0395397984073,0.0263327740982,0.0218087205255,0.0237169843766,0.0148870501646
26,2,10,300,10,0.582523497537,0.142527775164,0.0686718583884,0.049462603717,0.0362796019043,0.0377646711839,0.0251344296303,0.0208109196997,0.0226259043313,0.0141987384444
27,2,10,300,10,0.598143503134,0.138860397693,0.0658930458892,0.0473422984672,0.0346840940947,0.0360759684608,0.0239969315557,0.0198646121986,0.0215920691933,0.0135470793137
28,2,10,300,10,0.613285948529,0.135142265194,0.0632079090151,0.0453107386264,0.0331613803658,0.0344685101553,0.0229162383186,0.0189662496113,0.0206113887981,0.0129293713858
29,2,10,300,10,0.627955521721,0.131393045624,0.0606165194498,0.043364698726,0.0317078165906,0.0329375660477,0.0218887179509,0.0181126609192,0.0196802280744,0.0123432248966
