generation,sigma,k,samples,learning,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99
0,2,50,1000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,50,1000,10,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0158378449389,0.0120354250434,0.00846176631926,0.00570666274351,0.00337730440038,0.00185092256562,0.00106127647144,0.000586824962812,0.000338015221728,0.000214960077843,0.000142095718753,7.02334780735e-05,2.29858630487e-05,2.29858630487e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,50,1000,10,0.0585960554817,0.0521025390568,0.0476804783735,0.044001992109,0.0409901708696,0.0384002107253,0.0361546705006,0.034211891889,0.0323330331457,0.030609326872,0.0290344392411,0.0275555519833,0.0262580876714,0.024995508206,0.023896782112,0.0228617750596,0.021898069141,0.0209605189417,0.0200619281276,0.0192133200863,0.018387791695,0.0176307226658,0.0169304470726,0.0162772107588,0.0156141858222,0.0149774842056,0.0143689598424,0.0137711946156,0.0132094089011,0.0126816067722,0.0121507151154,0.0116697010376,0.0111818410245,0.0106971274006,0.0102088935441,0.00975078786819,0.00932327883847,0.00889198997713,0.00845961171446,0.00806573957903,0.0076724081891,0.00730985850906,0.00692242780924,0.00654014714915,0.00617633911541,0.00580441778258,0.00545155167028,0.00511282699302,0.00479767814829,0.00447715885995,0.00415993531773,0.00385776008022,0.00354691994708,0.00326267999155,0.0029649597182,0.00268620107918,0.00240292785773,0.00213604882335,0.00185999800436,0.00159785207409,0.00133688891337,0.00106348416445,0.000832371870183,0.000628837567239,0.000447784242702,0.000307449332617,0.000201501260343,0.000135387674095,8.95560855841e-05,5.86798140454e-05,3.80539258328e-05,2.16452037021e-05,1.31693300761e-05,8.27109717198e-06,4.61986802568e-06,2.82258410959e-06,2.01680772442e-06,1.08710403846e-06,5.75157235675e-07,4.57528312858e-07,1.10382214835e-07,5.06239012583e-08,1.72342775714e-08,6.72603087268e-09,4.78558837436e-09,3.37714825986e-09,4.35265008768e-10,4.35265008768e-10,4.35265008768e-10,4.35265008768e-10,4.35265008768e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,50,1000,10,0.121585628303,0.0975612455554,0.082276760472,0.0702680371945,0.0610828947647,0.0535616917264,0.0474573460666,0.0424624794451,0.037857442545,0.0338663607811,0.0304433645427,0.0273769367138,0.0248291681593,0.0224807205759,0.0205390091528,0.0188055891746,0.0172605117757,0.0158249425303,0.0145112234108,0.0133273585224,0.0122171237261,0.0112526686165,0.0103966169911,0.00962609759877,0.00888085478112,0.00818958088246,0.00755732304299,0.0069660125506,0.00642944674461,0.0059464699898,0.00547946198419,0.00507690770564,0.0046824171727,0.00430399406479,0.00393891333637,0.00361186450152,0.00332144352403,0.00304108920187,0.00277080968244,0.00253667029428,0.00231424938744,0.00211841756796,0.00191947307467,0.00173250495208,0.00156177804527,0.00139713818162,0.00124912812247,0.00111673963373,0.000999277914318,0.000887356109689,0.000784166216442,0.000691582172695,0.000602119132005,0.000526722403656,0.000453113346948,0.000389330545997,0.000329231361037,0.000278489915145,0.000230918412598,0.00019019290996,0.000153905722039,0.000120043983587,9.44888857298e-05,7.30597978638e-05,5.43049066843e-05,3.93009476881e-05,2.74533773057e-05,1.94526727427e-05,1.36926127528e-05,9.56984814847e-06,6.53139228555e-06,4.11590677046e-06,2.73158940861e-06,1.79953265293e-06,1.15006836833e-06,7.41352135544e-07,5.12368064692e-07,3.12921256169e-07,1.76454788272e-07,1.21558046109e-07,5.56107219628e-08,3.24164719281e-08,1.60146665582e-08,8.80103457105e-09,5.73182560343e-09,3.627974223e-09,1.71966862494e-09,1.18180206144e-09,6.81727999112e-10,4.44620467223e-10,3.47272170284e-10,1.16895106436e-10,9.81780109653e-11,8.49366151372e-11,7.54771019708e-12,3.60530483158e-12,1.48108762865e-12,8.43417871285e-13,5.26035856385e-13,1.5381689627e-13
4,2,50,1000,10,0.189109470079,0.139259362475,0.109292667515,0.0868693949787,0.0707331231936,0.0580863716401,0.0484458694068,0.0409699607428,0.0343810843667,0.0289856243943,0.0246564414415,0.0209555443258,0.0180418241992,0.0155047017421,0.0135139709782,0.0118350158751,0.0103986956085,0.00912791340093,0.00802201858242,0.00706860991131,0.00620610455089,0.00549769124165,0.00489360227913,0.00436653395043,0.00388192508401,0.00344704640094,0.00306501915383,0.00272501888047,0.00242627066801,0.00216791144998,0.00192705932242,0.00172887782381,0.00154064439726,0.00136563001936,0.00120304256863,0.00106334450131,0.000944892993199,0.000835007513423,0.000732550797401,0.00064751727711,0.000570271365502,0.000504778379676,0.000441005033835,0.000383601222991,0.000332706496031,0.000285902360257,0.000245693851127,0.000211714654235,0.00018261384714,0.000156211182685,0.000133204926239,0.000113433322266,9.5131093565e-05,8.05178011236e-05,6.69214558991e-05,5.56526073389e-05,4.55107339778e-05,3.74919547518e-05,3.03441310069e-05,2.45014030565e-05,1.94757181941e-05,1.49712840649e-05,1.17353467029e-05,9.10595443788e-06,6.83400323082e-06,5.01877235562e-06,3.58602084796e-06,2.59128451563e-06,1.87503318215e-06,1.35187903882e-06,9.51323492551e-07,6.29465899457e-07,4.35020421941e-07,2.96607177069e-07,1.99143921698e-07,1.33421711009e-07,9.30114924131e-08,5.99259679035e-08,3.56932459331e-08,2.41153655984e-08,1.30330869868e-08,8.15818596479e-09,4.56559262613e-09,2.76993501014e-09,1.83963832984e-09,1.19589232726e-09,6.67862616951e-10,4.53769704976e-10,2.76490198847e-10,1.79265532151e-10,1.26834951755e-10,5.74871715909e-11,4.41383070508e-11,3.38428157619e-11,9.11591025573e-12,5.2664425096e-12,2.63914459776e-12,1.4122149778e-12,8.55888271693e-13,3.76059405329e-13
5,2,50,1000,10,0.248363417217,0.170828534484,0.12628815172,0.0942613830743,0.0723814122017,0.0558621322829,0.0439641082524,0.0351833422947,0.0277533912767,0.021993667746,0.0176795469894,0.0141572103904,0.011525229576,0.0093672078968,0.00776283784895,0.00649049867748,0.00544082310712,0.00456247766828,0.00384120222147,0.00324463989026,0.00272430069134,0.00232204558924,0.00199237779229,0.00171187206663,0.00146813698583,0.00125645299414,0.00107684745129,0.000925374632781,0.000796261813983,0.000688800875839,0.000591964403245,0.000515709618111,0.00044536533898,0.000381800066955,0.000324663543338,0.000277403693333,0.000239056863993,0.000204764540023,0.000173700356424,0.000148846885527,0.000127173047391,0.000109363456896,9.2622591199e-05,7.81488814542e-05,6.55773585113e-05,5.44625360918e-05,4.52875265173e-05,3.78853543792e-05,3.17182285322e-05,2.63264126877e-05,2.18454107123e-05,1.81218292518e-05,1.4780742083e-05,1.22080181893e-05,9.90320086316e-06,8.04484052987e-06,6.4252037578e-06,5.20130235929e-06,4.14457522993e-06,3.30364942071e-06,2.58917441234e-06,1.96663125753e-06,1.53296847881e-06,1.18784499164e-06,8.91729299541e-07,6.56734486378e-07,4.72846676699e-07,3.43351634768e-07,2.51282891345e-07,1.83813989932e-07,1.31333371642e-07,8.89548256859e-08,6.27918325115e-08,4.37202653008e-08,3.0106725653e-08,2.06613646216e-08,1.45941020432e-08,9.68570837765e-09,5.98239892011e-09,4.07054990352e-09,2.36799691023e-09,1.53914623027e-09,9.19429710237e-10,5.87261608408e-10,3.97669401313e-10,2.65553413e-10,1.59481400202e-10,1.09177312204e-10,6.90347143108e-11,4.53272773805e-11,3.10097421486e-11,1.60481986374e-11,1.18576052046e-11,8.68999354599e-12,3.33350032088e-12,2.03678508116e-12,1.10728447903e-12,6.08083026005e-13,3.7106734482e-13,1.92572861017e-13
6,2,50,1000,10,0.29375071507,0.191921714011,0.135424728596,0.0960377576662,0.0702305751944,0.0513230294826,0.038344377449,0.029167755064,0.0216669397576,0.0161352164634,0.0122622308304,0.00923444899288,0.00707876970472,0.00541766082324,0.00424842787535,0.00338115357838,0.00268493212753,0.00214033275509,0.00172369822265,0.00139189282093,0.00111343944151,0.000912592335622,0.000754501225712,0.000622119309562,0.000514714169076,0.000424560233135,0.000349871122967,0.000290902133312,0.00024212584803,0.000203045443892,0.000168924193196,0.000143168925889,0.000120078237801,9.97720854415e-05,8.20367050771e-05,6.78760384448e-05,5.68733889243e-05,4.73708968097e-05,3.89787044638e-05,3.24724530952e-05,2.70126702058e-05,2.26431194432e-05,1.8652519818e-05,1.53381477507e-05,1.2499061798e-05,1.00719399921e-05,8.14047662912e-06,6.64154634198e-06,5.4208265748e-06,4.38334886788e-06,3.55646011729e-06,2.88885021929e-06,2.30414026019e-06,1.86461198801e-06,1.48409486477e-06,1.18295205897e-06,9.27081733558e-07,7.4044720174e-07,5.83075351831e-07,4.60168386023e-07,3.55935271809e-07,2.67419279092e-07,2.07202133047e-07,1.60051251637e-07,1.19770864114e-07,8.80516795975e-08,6.34838660648e-08,4.59972141416e-08,3.37828136583e-08,2.48652073716e-08,1.78823536188e-08,1.2241962173e-08,8.73598468024e-09,6.15625579395e-09,4.29725894231e-09,2.99199875274e-09,2.13542578229e-09,1.44238628686e-09,9.11832798502e-10,6.27060546363e-10,3.79429877361e-10,2.52478527705e-10,1.56780091608e-10,1.03313145035e-10,7.10560185567e-11,4.84269031036e-11,3.0291798342e-11,2.09432138785e-11,1.35859419585e-11,9.04314651729e-12,6.1264445262e-12,3.4083794495e-12,2.48053097652e-12,1.78663097997e-12,8.12748447131e-13,5.12518327156e-13,2.92603584811e-13,1.64928941597e-13,1.01961082772e-13,5.7436340482e-14
7,2,50,1000,10,0.325340199302,0.204902406124,0.13975864359,0.0953658535003,0.067182161854,0.0469952019929,0.0336525173361,0.024535865604,0.0172832800458,0.0121530922164,0.00877284914867,0.00622904497302,0.004490899553,0.00322931994887,0.00238650461175,0.00180349517967,0.00134151904065,0.00100850878331,0.000775173218751,0.000595241973618,0.000450484965502,0.000354446509839,0.000281976736889,0.000221349560478,0.000176437970029,0.000140158198071,0.000110105312434,8.85250656755e-05,7.1239087076e-05,5.79336979498e-05,4.66530342755e-05,3.84864559485e-05,3.13838755048e-05,2.53081683499e-05,2.01323084528e-05,1.6136177013e-05,1.31672946731e-05,1.06899942453e-05,8.55145993101e-06,6.93757304884e-06,5.63347629398e-06,4.61320220045e-06,3.70197403006e-06,2.97703032799e-06,2.36146641209e-06,1.85066474501e-06,1.45819105004e-06,1.16361723938e-06,9.28470529375e-07,7.32901511134e-07,5.82960280194e-07,4.65105551894e-07,3.63930633166e-07,2.88985498956e-07,2.26313492115e-07,1.77387376193e-07,1.36724700023e-07,1.07954971461e-07,8.41698655119e-08,6.58690927702e-08,5.02744376557e-08,3.73753598851e-08,2.87787763327e-08,2.21425123261e-08,1.64899582953e-08,1.2074590253e-08,8.69132872117e-09,6.25848332497e-09,4.5939551176e-09,3.38717372803e-09,2.43980740851e-09,1.67647482819e-09,1.20233271507e-09,8.52751718666e-10,5.9928794461e-10,4.20732220917e-10,3.0241438544e-10,2.06379825499e-10,1.32359393608e-10,9.18502616073e-11,5.68223014035e-11,3.83857608553e-11,2.44157459567e-11,1.64129426163e-11,1.14216134986e-11,7.89921162803e-12,5.06696487334e-12,3.53469905133e-12,2.33474540548e-12,1.57232756966e-12,1.06445771017e-12,6.18570599429e-13,4.47826996931e-13,3.20725897523e-13,1.60365073655e-13,1.03230770232e-13,6.08767866966e-14,3.50408577869e-14,2.19265473147e-14,1.29424229255e-14
8,2,50,1000,10,0.345866377576,0.212476895862,0.14159671605,0.0940567451635,0.0645433845749,0.0437381262907,0.0303598742088,0.0214455553368,0.0144903194123,0.00972348287056,0.00673287876692,0.00454906326467,0.00310265209667,0.00210548178779,0.00146842516467,0.0010558281962,0.000727661563006,0.000511537253553,0.000374853922814,0.000271907058833,0.000192765829735,0.000145321584213,0.000111072574894,8.17674931578e-05,6.26352944472e-05,4.78856060044e-05,3.50615850688e-05,2.7166043871e-05,2.10793566595e-05,1.66049833667e-05,1.29116885194e-05,1.03482744086e-05,8.20068613672e-06,6.41993289093e-06,4.93484430032e-06,3.82564762921e-06,3.04175866904e-06,2.41092265479e-06,1.87764693691e-06,1.48411602941e-06,1.17843440219e-06,9.44049336467e-07,7.37694674051e-07,5.81568661866e-07,4.49597773701e-07,3.43059342001e-07,2.64018834138e-07,2.06424668705e-07,1.61301111791e-07,1.24375525079e-07,9.71067405811e-08,7.62413426595e-08,5.86389644905e-08,4.56789256399e-08,3.52485865721e-08,2.71922389491e-08,2.06329625457e-08,1.61217860722e-08,1.24582731013e-08,9.67600760498e-09,7.28047522274e-09,5.35530256272e-09,4.09687065686e-09,3.13836984963e-09,2.32360371715e-09,1.6924919686e-09,1.21431534535e-09,8.66586084591e-10,6.3419798075e-10,4.67207165221e-10,3.36038542254e-10,2.30799708095e-10,1.65754094826e-10,1.17900117482e-10,8.30619213261e-11,5.85629739447e-11,4.22815038236e-11,2.90130616925e-11,1.87636398673e-11,1.3108451927e-11,8.20624810593e-12,5.59629405626e-12,3.61273305909e-12,2.45969708403e-12,1.72620610495e-12,1.20612376861e-12,7.86206308071e-13,5.52417070887e-13,3.69543706688e-13,2.5115925466e-13,1.70459465967e-13,1.01824888735e-13,7.3643862049e-14,5.26999859806e-14,2.78746587795e-14,1.81994601534e-14,1.09744433424e-14,6.41878285353e-15,4.05633753308e-15,2.46434023458e-15
9,2,50,1000,10,0.358558394882,0.216753180076,0.142288121814,0.0928690048637,0.0626462726853,0.0415648408661,0.0282592408012,0.0195429217221,0.0128287384226,0.0083261582401,0.005599550112,0.00365037794229,0.00238593119457,0.0015472157034,0.00102885911847,0.000710631349152,0.00045346045604,0.000297738477288,0.000208880183365,0.000142783525846,9.41559378278e-05,6.80947139239e-05,5.00834812136e-05,3.38828653382e-05,2.49080115675e-05,1.83802054603e-05,1.19578924144e-05,8.85687778497e-06,6.58415625784e-06,5.00734045581e-06,3.73450124094e-06,2.88776226987e-06,2.21657083583e-06,1.68200168766e-06,1.24374900144e-06,9.27584267001e-07,7.17751761128e-07,5.55876985957e-07,4.21710576521e-07,3.24320971517e-07,2.52050993382e-07,1.976825383e-07,1.49885403198e-07,1.16035009569e-07,8.74342228251e-08,6.49564861062e-08,4.88809081302e-08,3.74790054223e-08,2.87109640569e-08,2.16154475006e-08,1.6569271037e-08,1.28175965833e-08,9.7025231693e-09,7.40089276395e-09,5.6308041053e-09,4.27540951874e-09,3.19397447714e-09,2.47074885728e-09,1.89346486377e-09,1.46035897213e-09,1.08133755386e-09,7.86664524863e-10,5.97731584258e-10,4.55751106678e-10,3.35206912871e-10,2.426638565e-10,1.73381583881e-10,1.22321683366e-10,8.91040158728e-11,6.54784791844e-11,4.69280328284e-11,3.21276360391e-11,2.30503779336e-11,1.64045281796e-11,1.15520404856e-11,8.15724943015e-12,5.90421538681e-12,4.06004793887e-12,2.63666192985e-12,1.85053040581e-12,1.16431183899e-12,7.98309392373e-13,5.198144903e-13,3.56681445389e-13,2.51767471747e-13,1.77123044164e-13,1.16631550518e-13,8.23922090532e-14,5.55988878249e-14,3.80451860735e-14,2.59054150852e-14,1.57497499061e-14,1.13988378659e-14,8.16591344089e-15,4.47056742096e-15,2.94776597964e-15,1.80526327032e-15,1.0684697069e-15,6.80376179164e-16,4.21074495901e-16
