run_ID,t4_initial,t5_initial,t10_initial,t11_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,epsilon,delta,t4_final,t5_final,t10_final,t11_final
24,0.0233681245064,0.116908922299,0.685894704872,0.173828248323,1,0,10,5,10000,10,20,0.5,0.1,0.0424606334945,0.226501502419,0.0424606334945,0.688577230592
25,0.145389562459,0.0157386563064,0.0418012492227,0.797070532012,1,0,10,5,10000,10,20,0.5,0.1,0.0424621913231,0.226460145464,0.0424621913231,0.68861547189
26,0.0414536798438,0.652952562294,0.103495166808,0.202098591054,1,0,10,5,10000,10,20,0.5,0.1,0.0424522981203,0.226722788438,0.0424522981203,0.688372615321
27,0.608790087893,0.10238742131,0.169091831979,0.119730658818,1,0,10,5,10000,10,20,0.5,0.1,0.0424609087694,0.22649419447,0.0424609087694,0.688583987991
28,0.261741565568,0.0466887950774,0.225320330225,0.46624930913,1,0,10,5,10000,10,20,0.5,0.1,0.0424617328392,0.226472317212,0.0424617328392,0.688604217109
29,0.142462531007,0.00032702283366,0.783481598664,0.0737288474955,1,0,10,5,10000,10,20,0.5,0.1,0.0424624600615,0.226453011043,0.0424624600615,0.688622068833
30,0.133640176599,0.243441640725,0.456395966042,0.166522216634,1,0,10,5,10000,10,20,0.5,0.1,0.0424586750607,0.226553494568,0.0424586750607,0.68852915531
31,0.299761167797,0.0771794416225,0.0857740514951,0.537285339085,1,0,10,5,10000,10,20,0.5,0.1,0.0424612588882,0.226484899577,0.0424612588882,0.688592582646
32,0.134405029679,0.426423524264,0.128768664807,0.31040278125,1,0,10,5,10000,10,20,0.5,0.1,0.0424558238508,0.226629187976,0.0424558238508,0.688459164322
33,0.0918426505919,0.556106744987,0.163441688103,0.188608916318,1,0,10,5,10000,10,20,0.5,0.1,0.0424538087259,0.226682685152,0.0424538087259,0.688409697396
34,0.0306089691163,0.00469654325473,0.787718452621,0.176976035008,1,0,10,5,10000,10,20,0.5,0.1,0.042462378898,0.22645516576,0.042462378898,0.688620076444
35,0.053676673133,0.0483991531618,0.566054426643,0.331869747062,1,0,10,5,10000,10,20,0.5,0.1,0.0424616948897,0.226473324687,0.0424616948897,0.688603285533
36,0.462586507575,0.205988662035,0.131730095655,0.199694734735,1,0,10,5,10000,10,20,0.5,0.1,0.0424592826839,0.226537363495,0.0424592826839,0.688544071137
37,0.0386865739911,0.219475460137,0.302213813373,0.439624152498,1,0,10,5,10000,10,20,0.5,0.1,0.0424590290085,0.226544098026,0.0424590290085,0.688537843957
38,0.05484754461,0.513822914317,0.182395795682,0.24893374539,1,0,10,5,10000,10,20,0.5,0.1,0.042454460824,0.226665373369,0.042454460824,0.688425704983
39,0.626607554211,0.300723868365,0.0444159541562,0.0282526232677,1,0,10,5,10000,10,20,0.5,0.1,0.0424578297062,0.226575936886,0.0424578297062,0.688508403701
40,0.170038743375,0.574766442407,0.0234882320285,0.23170658219,1,0,10,5,10000,10,20,0.5,0.1,0.0424535231271,0.226690267178,0.0424535231271,0.688402686568
41,0.0798017637097,0.473912563328,0.05031204364,0.395973629322,1,0,10,5,10000,10,20,0.5,0.1,0.0424550775007,0.226649001946,0.0424550775007,0.688440843053
42,0.0760445296609,0.221114980686,0.292413620449,0.410426869205,1,0,10,5,10000,10,20,0.5,0.1,0.042459007713,0.226544663375,0.042459007713,0.688537321199
43,0.0618585797929,0.335809870249,0.223640597127,0.37869095283,1,0,10,5,10000,10,20,0.5,0.1,0.0424572243034,0.226592009012,0.0424572243034,0.688493542381
44,0.0297011598488,0.159915213677,0.136062573293,0.674321053181,1,0,10,5,10000,10,20,0.5,0.1,0.0424599449556,0.226519781625,0.0424599449556,0.688560328463
45,0.244655771257,0.0134422690238,0.323571415865,0.418330543854,1,0,10,5,10000,10,20,0.5,0.1,0.0424622503984,0.226458577144,0.0424622503984,0.688616922059
46,0.0881815544894,0.672465265526,0.165618648718,0.073734531267,1,0,10,5,10000,10,20,0.5,0.1,0.0424520036657,0.226730605566,0.0424520036657,0.688365387102
47,0.230092361119,0.00150959026438,0.563233094745,0.205164953871,1,0,10,5,10000,10,20,0.5,0.1,0.0424624434202,0.226453452835,0.0424624434202,0.688621660324
48,0.62834513698,0.1609272063,0.0183441940755,0.192383462644,1,0,10,5,10000,10,20,0.5,0.1,0.042459997087,0.226518397651,0.042459997087,0.688561608175
49,0.388689380418,0.131535284933,0.256107701006,0.223667633643,1,0,10,5,10000,10,20,0.5,0.1,0.042460433525,0.226506811173,0.042460433525,0.688572321777
