generation,sigma,k,samples,learning,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
0,0.4,10,300,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.4,10,300,10,0.0358178835811,0.0358178835811,0.0358178835811,0.03581788441,0.0358366685463,0.0430742902825,0.327176818481,0.246710785806,0.154031274319,0.0498986274118
2,0.4,10,300,10,0.0752113864444,0.0680963385661,0.0688500760467,0.0662254974834,0.065367689663,0.0689166801036,0.14758543034,0.168102383511,0.177364106162,0.094280411679
3,0.4,10,300,10,0.11306130976,0.0924658837311,0.0944271956471,0.0873028518817,0.0848436183137,0.0826060431732,0.0989425984795,0.106942508142,0.143976555808,0.0954314350642
4,0.4,10,300,10,0.147832525093,0.108990527126,0.112295324179,0.0997293773883,0.0953231138084,0.087782541149,0.0835185028448,0.0761254461603,0.109343516689,0.0790591255619
5,0.4,10,300,10,0.179785366407,0.119497353988,0.12405076611,0.105861146437,0.0994778722171,0.0878051310539,0.0760002087461,0.0605554835839,0.0849839122674,0.0619827591901
6,0.4,10,300,10,0.20961120945,0.125867272572,0.131448775535,0.107939962534,0.099741932389,0.0851361499989,0.0703654885196,0.0516202710922,0.0692066787051,0.0490622592038
7,0.4,10,300,10,0.237893603596,0.129491959169,0.135835155605,0.10756922382,0.09780902103,0.0812752742921,0.0653859404935,0.045700964245,0.058847407936,0.0401914498144
8,0.4,10,300,10,0.265013873429,0.131281579427,0.138122435148,0.105767003109,0.0947227286632,0.0770285655482,0.0608716017161,0.0413328847578,0.0516869711624,0.0341723570387
9,0.4,10,300,10,0.291195290852,0.13180759444,0.138908966228,0.10314812386,0.0910882428894,0.0727897193241,0.0567938682106,0.0378776011566,0.0464283145819,0.0299622784583
10,0.4,10,300,10,0.316561938356,0.131430423296,0.138591927583,0.100078559581,0.0872456388106,0.0687327085308,0.0531223730123,0.0350196600324,0.0423456467143,0.0268711240843
11,0.4,10,300,10,0.341181276611,0.130384543397,0.137444320819,0.0967770778681,0.0833821935102,0.0649224898199,0.0498137725545,0.0325827456265,0.0390289730179,0.0244826067763
12,0.4,10,300,10,0.365089975998,0.128829448571,0.135661848047,0.093376065397,0.0795987109882,0.0613729402985,0.0468214572831,0.0304586522213,0.0362389305487,0.0225519706473
13,0.4,10,300,10,0.38830851001,0.126878994038,0.133390455136,0.0899567055736,0.0759472437259,0.0580755258459,0.0441022356938,0.0285765228054,0.0338297160604,0.0209340911098
14,0.4,10,300,10,0.410849169039,0.1246182211,0.130742583761,0.0865692580475,0.0724523285913,0.0550129514328,0.041618808267,0.0268877133425,0.0317084390459,0.0195405273732
15,0.4,10,300,10,0.432720422986,0.122113153111,0.127807028745,0.0832449035602,0.0691229842308,0.0521654393599,0.0393399465303,0.0253575321762,0.029813259768,0.0183153295323
16,0.4,10,300,10,0.453929289364,0.119416654867,0.124655164237,0.0800028073,0.065959552046,0.0495134859047,0.0372397736106,0.0239604033056,0.0281012661718,0.0172216031936
17,0.4,10,300,10,0.474482607679,0.116572057039,0.121345061566,0.0768544294012,0.0629576356818,0.0470389693668,0.0352968361793,0.0226769011783,0.0265415198132,0.0162339820961
18,0.4,10,300,10,0.494387706118,0.113615483518,0.117924340817,0.0738062152103,0.0601103859389,0.0447255030696,0.0334932426196,0.0214918724435,0.0251109302927,0.0153343199726
19,0.4,10,300,10,0.513652725379,0.11057740602,0.114432230817,0.0708613088921,0.0574098285377,0.0425584545634,0.0318139478911,0.0203932141841,0.0237917277702,0.014509155946
20,0.4,10,300,10,0.532286746678,0.107483725358,0.110901112902,0.0680206646025,0.0548476310387,0.040524827579,0.0302461875282,0.019371059779,0.0225698667529,0.0137481777814
21,0.4,10,300,10,0.550299807531,0.104356554324,0.107357713684,0.0652837782207,0.0524155378953,0.0386130970731,0.0287790378822,0.0184172235963,0.0214339885272,0.0130432612655
22,0.4,10,300,10,0.567702853916,0.1012148068,0.103824049579,0.0626491756613,0.0501056079946,0.0368130377058,0.0274030756788,0.017524813362,0.0203747278322,0.0123878514705
23,0.4,10,300,10,0.584507657674,0.0980746570977,0.100318189442,0.0601147425132,0.0479103345604,0.0351155626667,0.0261101132476,0.0166879532655,0.0193842370377,0.0117765524954
24,0.4,10,300,10,0.600726716601,0.0949499095099,0.0968548796718,0.0576779487942,0.0458226954025,0.033512578918,0.0248929907425,0.0159015816115,0.0184558510373,0.0112048477113
25,0.4,10,300,10,0.616373147851,0.0918523035736,0.0934460625459,0.0553360035169,0.0438361625414,0.0319968600277,0.0237454112576,0.0151612996437,0.0175838452719,0.0106689037707
26,0.4,10,300,10,0.631460581127,0.0887917716836,0.0901013098198,0.0530859617636,0.0419446888395,0.030561935676,0.0226618084324,0.0144632561973,0.0167632567726,0.0101654296882
27,0.4,10,300,10,0.646003055599,0.0857766601364,0.0868281878497,0.0509247992981,0.0401426823421,0.0292019961419,0.0216372389072,0.0138040579511,0.0159897487924,0.0096915729818
28,0.4,10,300,10,0.660014922818,0.0828139211886,0.0836325665807,0.0488494647778,0.0384249747882,0.0279118099018,0.020667294019,0.0131806983429,0.0152595062513,0.00924484133171
29,0.4,10,300,10,0.673510756894,0.0799092814581,0.0805188819877,0.0468569163684,0.0367867881448,0.026686652552,0.019748026584,0.0125905003677,0.0145691534363,0.00882304220692
